cluster	matrix_name	transcripts_ids	Gene	Enrichment	Adjust.P.value	Description
male gametes	G2210	SmLINC104004-IBu	G2210	2.54409361707786	0	SmLINC104009-IBu,SmLINC104006-IBu,SmLINC104004-IBu,SmLINC104008-IBu,SmLINC104003-IBu
parenchyma 1	G2210	SmLINC104004-IBu	G2210	0.420257870140303	0	SmLINC104009-IBu,SmLINC104006-IBu,SmLINC104004-IBu,SmLINC104008-IBu,SmLINC104003-IBu
muscle 6	G2210	SmLINC104004-IBu	G2210	0.373615517182051	7.90445232357754e-39	SmLINC104009-IBu,SmLINC104006-IBu,SmLINC104004-IBu,SmLINC104008-IBu,SmLINC104003-IBu
male gametes	G2210	SmLINC104006-IBu	G2210	2.54409361707786	0	SmLINC104009-IBu,SmLINC104006-IBu,SmLINC104004-IBu,SmLINC104008-IBu,SmLINC104003-IBu
parenchyma 1	G2210	SmLINC104006-IBu	G2210	0.420257870140303	0	SmLINC104009-IBu,SmLINC104006-IBu,SmLINC104004-IBu,SmLINC104008-IBu,SmLINC104003-IBu
muscle 6	G2210	SmLINC104006-IBu	G2210	0.373615517182051	7.90445232357754e-39	SmLINC104009-IBu,SmLINC104006-IBu,SmLINC104004-IBu,SmLINC104008-IBu,SmLINC104003-IBu
parenchyma 1	G2210	SmLINC104008-IBu	G2210	0.420257870140303	0	SmLINC104009-IBu,SmLINC104006-IBu,SmLINC104004-IBu,SmLINC104008-IBu,SmLINC104003-IBu
male gametes	G2210	SmLINC104008-IBu	G2210	2.54409361707786	0	SmLINC104009-IBu,SmLINC104006-IBu,SmLINC104004-IBu,SmLINC104008-IBu,SmLINC104003-IBu
muscle 6	G2210	SmLINC104008-IBu	G2210	0.373615517182051	7.90445232357754e-39	SmLINC104009-IBu,SmLINC104006-IBu,SmLINC104004-IBu,SmLINC104008-IBu,SmLINC104003-IBu
parenchyma 1	G2210	SmLINC104009-IBu	G2210	0.420257870140303	0	SmLINC104009-IBu,SmLINC104006-IBu,SmLINC104004-IBu,SmLINC104008-IBu,SmLINC104003-IBu
male gametes	G2210	SmLINC104009-IBu	G2210	2.54409361707786	0	SmLINC104009-IBu,SmLINC104006-IBu,SmLINC104004-IBu,SmLINC104008-IBu,SmLINC104003-IBu
muscle 6	G2210	SmLINC104009-IBu	G2210	0.373615517182051	7.90445232357754e-39	SmLINC104009-IBu,SmLINC104006-IBu,SmLINC104004-IBu,SmLINC104008-IBu,SmLINC104003-IBu
mature vitellocytes	G3516	SmLINC106420-IBu	G3516	0.601330494025423	0	SmLINC106420-IBu
neuron 12	G3555	SmLINC106484-IBu	G3555	0.530847416994911	3.53130557940208e-77	SmLINC106484-IBu,SmLINC106486-IBu,SmLINC106485-IBu
neuron 31 (7b2-)	G3555	SmLINC106484-IBu	G3555	2.12376265968144	1.12026675791465e-311	SmLINC106484-IBu,SmLINC106486-IBu,SmLINC106485-IBu
mature vitellocytes	G3555	SmLINC106484-IBu	G3555	0.49394140740048	8.55093677353403e-17	SmLINC106484-IBu,SmLINC106486-IBu,SmLINC106485-IBu
mature vitellocytes	G3555	SmLINC106485-IBu	G3555	0.49394140740048	8.55093677353403e-17	SmLINC106484-IBu,SmLINC106486-IBu,SmLINC106485-IBu
neuron 31 (7b2-)	G3555	SmLINC106485-IBu	G3555	2.12376265968144	1.12026675791465e-311	SmLINC106484-IBu,SmLINC106486-IBu,SmLINC106485-IBu
neuron 12	G3555	SmLINC106485-IBu	G3555	0.530847416994911	3.53130557940208e-77	SmLINC106484-IBu,SmLINC106486-IBu,SmLINC106485-IBu
neuron 31 (7b2-)	G3555	SmLINC106486-IBu	G3555	2.12376265968144	1.12026675791465e-311	SmLINC106484-IBu,SmLINC106486-IBu,SmLINC106485-IBu
mature vitellocytes	G3555	SmLINC106486-IBu	G3555	0.49394140740048	8.55093677353403e-17	SmLINC106484-IBu,SmLINC106486-IBu,SmLINC106485-IBu
neuron 12	G3555	SmLINC106486-IBu	G3555	0.530847416994911	3.53130557940208e-77	SmLINC106484-IBu,SmLINC106486-IBu,SmLINC106485-IBu
neuron 15	G4454	SmLINC108252-IBu	G4454	0.419818865203941	1.57856245203945e-95	SmLINC108252-IBu
dmrt1+ neoblasts	G4916	SmLINC109102-IBu	G4916	0.350650724629025	6.36947473567177e-23	SmLINC109102-IBu
parenchyma 2	G5096	SmLINC109487-IBu	G5096	0.28754162500074	0.000492070612962368	SmLINC109487-IBu,SmLINC109488-IBu
parenchyma 2	G5096	SmLINC109488-IBu	G5096	0.28754162500074	0.000492070612962368	SmLINC109487-IBu,SmLINC109488-IBu
zfp-1-1+	G5613	SmLINC110417-IBu	G5613	0.394245383422211	7.40974510725656e-118	SmLINC110418-IBu,SmLNCA110422-IBu,SmLNCA110420-IBu,SmLNCA110423-IBu,SmLNCA110413-IBu,SmLNCA110419-IBu,SmLINC110424-IBu,SmLNCA110425-IBu,SmLNCA110416-IBu,SmLNCA110415-IBu,SmLNCA110411-IBu,SmLNCA110412-IBu,SmLINC110417-IBu,SmLNCA110421-IBu
zfp-1-1+	G5613	SmLINC110418-IBu	G5613	0.394245383422211	7.40974510725656e-118	SmLINC110418-IBu,SmLNCA110422-IBu,SmLNCA110420-IBu,SmLNCA110423-IBu,SmLNCA110413-IBu,SmLNCA110419-IBu,SmLINC110424-IBu,SmLNCA110425-IBu,SmLNCA110416-IBu,SmLNCA110415-IBu,SmLNCA110411-IBu,SmLNCA110412-IBu,SmLINC110417-IBu,SmLNCA110421-IBu
zfp-1-1+	G5613	SmLINC110424-IBu	G5613	0.394245383422211	7.40974510725656e-118	SmLINC110418-IBu,SmLNCA110422-IBu,SmLNCA110420-IBu,SmLNCA110423-IBu,SmLNCA110413-IBu,SmLNCA110419-IBu,SmLINC110424-IBu,SmLNCA110425-IBu,SmLNCA110416-IBu,SmLNCA110415-IBu,SmLNCA110411-IBu,SmLNCA110412-IBu,SmLINC110417-IBu,SmLNCA110421-IBu
zfp-1-1+	G5668	SmLINC110535-IBu	G5668	1.82465083654221	7.07418091447984e-289	SmLINC110539-IBu,SmLINC110535-IBu,SmLINC110538-IBu,SmLINC110537-IBu
zfp-1-1+	G5668	SmLINC110537-IBu	G5668	1.82465083654221	7.07418091447984e-289	SmLINC110539-IBu,SmLINC110535-IBu,SmLINC110538-IBu,SmLINC110537-IBu
zfp-1-1+	G5668	SmLINC110538-IBu	G5668	1.82465083654221	7.07418091447984e-289	SmLINC110539-IBu,SmLINC110535-IBu,SmLINC110538-IBu,SmLINC110537-IBu
zfp-1-1+	G5668	SmLINC110539-IBu	G5668	1.82465083654221	7.07418091447984e-289	SmLINC110539-IBu,SmLINC110535-IBu,SmLINC110538-IBu,SmLINC110537-IBu
dmrt1+ neoblasts	G5975	SmLINC111051-IBu	G5975	0.352770944146222	2.24023734369228e-07	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
early vitellocytes	G5975	SmLINC111051-IBu	G5975	0.392926654200758	4.60429747672506e-34	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
meg-1+	G5975	SmLINC111051-IBu	G5975	0.395615197914996	4.12371926490071e-63	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
dmrt1+ neoblasts	G5975	SmLINC111052-IBu	G5975	0.352770944146222	2.24023734369228e-07	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
early vitellocytes	G5975	SmLINC111052-IBu	G5975	0.392926654200758	4.60429747672506e-34	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
meg-1+	G5975	SmLINC111052-IBu	G5975	0.395615197914996	4.12371926490071e-63	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
early vitellocytes	G5975	SmLINC111053-IBu	G5975	0.392926654200758	4.60429747672506e-34	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
dmrt1+ neoblasts	G5975	SmLINC111053-IBu	G5975	0.352770944146222	2.24023734369228e-07	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
meg-1+	G5975	SmLINC111053-IBu	G5975	0.395615197914996	4.12371926490071e-63	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
dmrt1+ neoblasts	G5975	SmLINC111054-IBu	G5975	0.352770944146222	2.24023734369228e-07	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
early vitellocytes	G5975	SmLINC111054-IBu	G5975	0.392926654200758	4.60429747672506e-34	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
meg-1+	G5975	SmLINC111054-IBu	G5975	0.395615197914996	4.12371926490071e-63	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
dmrt1+ neoblasts	G5975	SmLINC111055-IBu	G5975	0.352770944146222	2.24023734369228e-07	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
meg-1+	G5975	SmLINC111055-IBu	G5975	0.395615197914996	4.12371926490071e-63	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
early vitellocytes	G5975	SmLINC111055-IBu	G5975	0.392926654200758	4.60429747672506e-34	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
early vitellocytes	G5975	SmLINC111057-IBu	G5975	0.392926654200758	4.60429747672506e-34	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
meg-1+	G5975	SmLINC111057-IBu	G5975	0.395615197914996	4.12371926490071e-63	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
dmrt1+ neoblasts	G5975	SmLINC111057-IBu	G5975	0.352770944146222	2.24023734369228e-07	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
dmrt1+ neoblasts	G5975	SmLINC111058-IBu	G5975	0.352770944146222	2.24023734369228e-07	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
early vitellocytes	G5975	SmLINC111058-IBu	G5975	0.392926654200758	4.60429747672506e-34	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
meg-1+	G5975	SmLINC111058-IBu	G5975	0.395615197914996	4.12371926490071e-63	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
early vitellocytes	G5975	SmLINC111059-IBu	G5975	0.392926654200758	4.60429747672506e-34	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
dmrt1+ neoblasts	G5975	SmLINC111059-IBu	G5975	0.352770944146222	2.24023734369228e-07	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
meg-1+	G5975	SmLINC111059-IBu	G5975	0.395615197914996	4.12371926490071e-63	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
early vitellocytes	G5975	SmLINC111060-IBu	G5975	0.392926654200758	4.60429747672506e-34	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
dmrt1+ neoblasts	G5975	SmLINC111060-IBu	G5975	0.352770944146222	2.24023734369228e-07	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
meg-1+	G5975	SmLINC111060-IBu	G5975	0.395615197914996	4.12371926490071e-63	SmLINC111055-IBu,SmLINC111053-IBu,SmLINC111058-IBu,SmLINC111062-IBu,SmLINC111060-IBu,SmLINC111052-IBu,SmLINC111051-IBu,SmLINC111063-IBu,SmLINC111057-IBu,SmLINC111054-IBu,SmLINC111061-IBu,SmLINC111059-IBu
