cluster	matrix_name	transcripts_ids	Gene	Enrichment	Adjust P-value	Description
dmrt1+ neoblasts	Smp-082490	Smp_082490.1	Smp_082490	0.7971498464266322	5.245465771441152e-52	Putative cyclin B
dmrt1+ neoblasts	Smp-154080	Smp_154080.1,Smp_154080.2	Smp_154080	0.7841683174317544	1.364671494917954e-44	NA
dmrt1+ neoblasts	Smp-073300	Smp_073300.1	Smp_073300	0.7742003376906685	1.8347721726021788e-47	NA
dmrt1+ neoblasts	Smp-132030	Smp_132030.1	Smp_132030	0.7630475984665812	5.7946657596379285e-52	NA
dmrt1+ neoblasts	Smp-310550	Smp_310550.1	Smp_310550	0.7536368687807099	2.4968067496234636e-31	NA
dmrt1+ neoblasts	G35912	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu	G35912	0.7505773049427535	1.5035479185734529e-25	SmLINC166549-IBu,SmLINC166541-IBu,SmLINC166529-IBu,SmLINC166533-IBu,SmLINC166546-IBu,SmLINC166551-IBu,SmLINC166544-IBu,SmLINC166535-IBu,SmLINC166543-IBu,SmLINC166534-IBu,SmLINC166530-IBu,SmLINC166545-IBu,SmLINC166528-IBu,SmLINC166536-IBu,SmLINC166550-IBu,SmLINC166547-IBu,SmLINC166548-IBu,SmLINC166538-IBu,SmLINC166540-IBu,SmLINC166531-IBu,SmLINC166539-IBu,SmLINC166532-IBu,SmLINC166542-IBu,SmLINC166552-IBu
dmrt1+ neoblasts	Smp-246300	Smp_246300.1	Smp_246300	0.7479713645386569	2.7745222404082517e-74	WD_REPEATS_REGION domain-containing protein
dmrt1+ neoblasts	Smp-302280	Smp_302280.1	Smp_302280	0.7385930857840834	1.8480123135863903e-34	NA
dmrt1+ neoblasts	Smp-145470	Smp_145470.1	Smp_145470	0.7282576309128607	5.538441118130204e-50	Putative zinc finger protein
dmrt1+ neoblasts	G17920	SmLINC133371-IBu	G17920	0.7132131194517013	1.7538876544610594e-38	SmLINC133371-IBu
dmrt1+ neoblasts	Smp-129410	Smp_129410.1,Smp_129410.2,Smp_129410.3	Smp_129410	0.7106196179609965	3.798222594937297e-42	NA
dmrt1+ neoblasts	Smp-002600	Smp_002600.1,Smp_002600.2	Smp_002600	0.6824243697338737	3.509982318471727e-45	Lysosomal Pro-Xaa carboxypeptidase (S28 family)
dmrt1+ neoblasts	Smp-066890	Smp_066890.1	Smp_066890	0.6823625818161325	3.228257479076059e-49	Putative 40s ribosomal protein S10
dmrt1+ neoblasts	Smp-172480	Smp_172480.1	Smp_172480	0.6822206893360836	1.4089795760511344e-40	Kruppel-like factor 13,14,16
dmrt1+ neoblasts	Smp-040710	Smp_040710.1,Smp_040710.2	Smp_040710	0.6816104379692696	3.418816577233699e-72	Putative dna-directed rna polymerase II 13.3 kD polypeptide
dmrt1+ neoblasts	G15242	SmLINC128229-IBu	G15242	0.6789398801621659	1.0141252887903824e-47	SmLINC128229-IBu
dmrt1+ neoblasts	Smp-042090	Smp_042090.1,Smp_042090.2	Smp_042090	0.6765838241524023	4.4221177310894695e-42	Putative 60s ribosomal protein L10a
dmrt1+ neoblasts	Smp-055890	Smp_055890.1	Smp_055890	0.6697198127914361	5.811243844740099e-37	Ribonucleoside-diphosphate reductase small chain, putative
dmrt1+ neoblasts	Smp-074470	Smp_074470.1	Smp_074470	0.6594159221187845	6.328811576730741e-66	40S ribosomal protein S23
dmrt1+ neoblasts	Smp-138230	Smp_138230.1	Smp_138230	0.6517991064567088	4.0826265424929744e-109	NA
dmrt1+ neoblasts	Smp-003770	Smp_003770.1	Smp_003770	0.6362217654301827	3.985063350679287e-24	Putative histone h1/h5
dmrt1+ neoblasts	Smp-164950	Smp_164950.1	Smp_164950	0.6353856644200088	6.97561058054335e-36	NA
dmrt1+ neoblasts	Smp-080730	Smp_080730.1	Smp_080730	0.6348200404054637	7.079848491791791e-38	Serine/threonine kinase
dmrt1+ neoblasts	Smp-058320	Smp_058320.1	Smp_058320	0.6267429147426142	1.313807309975413e-29	Putative nuclear autoantigenic sperm protein (Nasp)
dmrt1+ neoblasts	Smp-021140	Smp_021140.1	Smp_021140	0.6093448477558843	5.9979721507125495e-66	40S ribosomal protein S7
dmrt1+ neoblasts	Smp-072330	Smp_072330.1	Smp_072330	0.6088732419778884	1.2348802138037175e-45	Putative heat shock protein
dmrt1+ neoblasts	Smp-337770	Smp_337770.1	Smp_337770	0.6055032885314023	2.5117104576565817e-22	NA
dmrt1+ neoblasts	Smp-012750	Smp_012750.1	Smp_012750	0.6048774938648322	2.0751571492269914e-43	60S ribosomal protein L12
dmrt1+ neoblasts	Smp-066050	Smp_066050.1	Smp_066050	0.6022536123381529	1.3217947771991695e-49	Transcriptional enhancer factor (Tef) related
dmrt1+ neoblasts	Smp-024850	Smp_024850.1,Smp_024850.2	Smp_024850	0.6008638571623548	8.240280427795991e-51	60S ribosomal protein L17
dmrt1+ neoblasts	Smp-008360	Smp_008360.1	Smp_008360	0.600861814935145	1.8817445840262496e-21	Adenosine kinase
dmrt1+ neoblasts	Smp-179650	Smp_179650.1,Smp_179650.2	Smp_179650	0.5944569283919128	3.190623895959026e-30	Putative chromobox protein
dmrt1+ neoblasts	Smp-340900	Smp_340900.1	Smp_340900	0.5904403298063361	3.7195930497281764e-66	NA
dmrt1+ neoblasts	Smp-032760	Smp_032760.1	Smp_032760	0.5799884649969913	1.6067917341199845e-26	40S ribosomal protein S11
dmrt1+ neoblasts	Smp-113620	Smp_113620.1	Smp_113620	0.5754572741151536	7.231828319495381e-21	Putative serine/arginine rich splicing factor
dmrt1+ neoblasts	Smp-090930	Smp_090930.1	Smp_090930	0.5682721302531468	1.4108033912858348e-24	NA
dmrt1+ neoblasts	Smp-179320	Smp_179320.1,Smp_179320.2	Smp_179320	0.5682386595713838	1.2618671993424639e-36	Eukaryotic translation initiation factor 2c,putative
dmrt1+ neoblasts	Smp-179180	Smp_179180.1	Smp_179180	0.5631881930352431	4.2974804446270025e-40	40S ribosomal protein SA
dmrt1+ neoblasts	Smp-065150	Smp_065150.1	Smp_065150	0.5622063427834036	5.329552821538363e-35	Putative establishment of cohesion 1 (Eco1) homolog
dmrt1+ neoblasts	Smp-007900	Smp_007900.1	Smp_007900	0.5580801218458635	8.945835031913997e-42	60S ribosomal protein L23
dmrt1+ neoblasts	G21470	SmLNCA139657-IBu,SmLNCA139658-IBu,SmLNCA139654-IBu,SmLNCA139656-IBu,SmLNCA139651-IBu,SmLNCA139652-IBu	G21470	0.5507216350878821	1.543208920528195e-40	SmLNCA139657-IBu,SmLNCA139658-IBu,SmLNCA139654-IBu,SmLNCA139656-IBu,SmLNCA139651-IBu,SmLNCA139652-IBu
dmrt1+ neoblasts	Smp-014780	Smp_014780.1	Smp_014780	0.5488982836100142	3.220197548684967e-28	Putative alpha-actinin
dmrt1+ neoblasts	2DBD-gamma	Smp_034860.1	Smp_034860	0.5482647783809254	2.5610349445139e-111	Putative nuclear receptor
dmrt1+ neoblasts	Smp-053830	Smp_053830.1	Smp_053830	0.5469297625219487	5.002478901489646e-39	Putative 40s ribosomal protein S14
dmrt1+ neoblasts	Smp-130850	Smp_130850.1	Smp_130850	0.5387738215021405	2.173949735875968e-24	40S ribosomal protein S15
dmrt1+ neoblasts	Smp-050940	Smp_050940.1	Smp_050940	0.5378266137032566	2.3813421816482645e-48	Putative 60s ribosomal protein L11
dmrt1+ neoblasts	Smp-054240	Smp_054240.1,Smp_054240.2	Smp_054240	0.5371712857787516	1.2805478899286862e-45	Translationally-controlled tumor protein homolog
dmrt1+ neoblasts	Smp-137390	Smp_137390.1	Smp_137390	0.5367243234018391	1.8956304193233496e-33	Slbp-P1-related
dmrt1+ neoblasts	Smp-009030	Smp_009030.1	Smp_009030	0.5355541513403286	1.6745846887269366e-22	Ribonucleoside-diphosphate reductase
dmrt1+ neoblasts	Smp-148590	Smp_148590.1	Smp_148590	0.5352789230920844	5.58230759417281e-29	NA
dmrt1+ neoblasts	Smp-247980	Smp_247980.1,Smp_247980.2	Smp_247980	0.5301116683202843	2.1746550236777853e-24	dNK domain-containing protein
dmrt1+ neoblasts	Smp-104580	Smp_104580.1,Smp_104580.2	Smp_104580	0.529097459861849	1.5188877259611918e-23	Ribulose-phosphate 3-epimerase
dmrt1+ neoblasts	Smp-151360	Smp_151360.1,Smp_151360.2	Smp_151360	0.5270713851670746	1.1430141306825747e-30	NA
dmrt1+ neoblasts	Smp-158490	Smp_158490.1	Smp_158490	0.5264990856346727	9.902604729921086e-152	Putative ras guanine nucleotide exchange factor RasGEFB
dmrt1+ neoblasts	Smp-009600	Smp_009600.1	Smp_009600	0.5246620823799912	4.7957086869991834e-29	Serine/threonine-protein kinase PLK
dmrt1+ neoblasts	Smp-015530	Smp_015530.1,Smp_015530.2	Smp_015530	0.5241977166550844	2.6939161653782187e-22	NA
dmrt1+ neoblasts	Smp-212260	Smp_212260.1	Smp_212260	0.51993757019342	1.839256136568019e-19	Putative retinoblastoma-binding protein 4 (Rbbp4)
dmrt1+ neoblasts	Smp-125810	Smp_125810.1,Smp_125810.2,Smp_125810.3,Smp_125810.4	Smp_125810	0.5161736340294687	2.9063696252546384e-22	Putative zinc finger protein
dmrt1+ neoblasts	AUT1	Smp_009310.1	Smp_009310	0.5142519231153422	2.2074823965857372e-48	AUT1
dmrt1+ neoblasts	Smp-037590	Smp_037590.1,Smp_037590.2	Smp_037590	0.5115489040300218	9.333275501929002e-25	DNA helicase
dmrt1+ neoblasts	Smp-090230	Smp_090230.1	Smp_090230	0.505043273219905	2.324949231431051e-40	60S ribosomal protein L13a
dmrt1+ neoblasts	Smp-002080	Smp_002080.1	Smp_002080	0.5043726328274742	1.7836057685505714e-19	S-adenosylmethionine synthase
dmrt1+ neoblasts	Smp-167880	Smp_167880.1,Smp_167880.2	Smp_167880	0.5041118295261997	1.9407398289403548e-28	Putative nuclear protein
dmrt1+ neoblasts	Smp-175590	Smp_175590.1	Smp_175590	0.5038921550196984	2.1403514350631546e-30	Receptor protein-tyrosine kinase
dmrt1+ neoblasts	GMD	Smp_153490.1	Smp_153490	0.502159708838003	1.0114718093233646e-19	GDP-D-mannose dehydratase
dmrt1+ neoblasts	Smp-345010	Smp_345010.1	Smp_345010	0.501788898674461	8.003719155571046e-22	NA
dmrt1+ neoblasts	Smp-098850	Smp_098850.1,Smp_098850.2	Smp_098850	0.5002204124163714	1.578929946024952e-24	RNA exonuclease 4
dmrt1+ neoblasts	Smp-105970	Smp_105970.1	Smp_105970	0.4977503770770668	9.035897165130712e-18	NA
dmrt1+ neoblasts	Smp-162370	Smp_162370.1	Smp_162370	0.4976927247067482	4.113195097632328e-23	Linker histone H1
dmrt1+ neoblasts	Smp-063350	Smp_063350.1	Smp_063350	0.494398615753759	1.0149075303029171e-38	Putative 60s ribosomal protein L27e
dmrt1+ neoblasts	Smp-337190	Smp_337190.1	Smp_337190	0.4895042374975913	1.9220181178820844e-20	NA
dmrt1+ neoblasts	MCM7	Smp_032500.1,Smp_032500.2	Smp_032500	0.48738144073522105	1.6796399586036837e-25	DNA replication licensing factor MCM7
dmrt1+ neoblasts	Smp-143490	Smp_143490.1	Smp_143490	0.4871931615181371	8.904128501186114e-26	DNA helicase
dmrt1+ neoblasts	Smp-245030	Smp_245030.1	Smp_245030	0.486698281517696	2.1789250469929424e-22	Importin subunit alpha
dmrt1+ neoblasts	Smp-153790	Smp_153790.1,Smp_153790.2	Smp_153790	0.485005257007042	2.1280635777415732e-41	Putative 60s ribosomal protein L4
dmrt1+ neoblasts	Smp-211250	Smp_211250.1	Smp_211250	0.48259840247133434	3.2783621153082875e-28	60S ribosomal protein L34
dmrt1+ neoblasts	Smp-008660	Smp_008660.1,Smp_008660.2,Smp_008660.3	Smp_008660	0.48215603427379383	3.6381079801583064e-32	Putative gelsolin
dmrt1+ neoblasts	G35103	SmLINC164921-IBu,SmLINC164923-IBu,SmLINC164919-IBu,SmLINC164922-IBu,SmLINC164920-IBu	G35103	0.4792587113950095	2.2046101426045644e-18	SmLINC164921-IBu,SmLINC164923-IBu,SmLINC164919-IBu,SmLINC164922-IBu,SmLINC164920-IBu
dmrt1+ neoblasts	Smp-058990	Smp_058990.1,Smp_058990.2	Smp_058990	0.47806445555111554	1.958406715799455e-27	Meiotic nuclear division protein 1 homolog
dmrt1+ neoblasts	G8547	SmLINC100002122,SmLINC100002123,SmLINC100002121	G8547	0.477531386857164	1.0616394041269595e-13	SmLINC100002122,SmLINC100002123,SmLINC100002121
dmrt1+ neoblasts	Smp-164040	Smp_164040.1,Smp_164040.2	Smp_164040	0.4760139985067361	8.51181359855095e-21	NA
dmrt1+ neoblasts	Smp-084620	Smp_084620.1	Smp_084620	0.4754930737109093	3.700043114957003e-19	NA
dmrt1+ neoblasts	Smp-325920	Smp_325920.1	Smp_325920	0.47254923059721365	8.029029686605115e-29	60S ribosomal protein L27a
dmrt1+ neoblasts	Smp-018990	Smp_018990.1	Smp_018990	0.4722886757716802	8.179748983299207e-40	60S ribosomal protein L9
dmrt1+ neoblasts	Smp-079240	Smp_079240.1	Smp_079240	0.4705653902957654	3.5575343596753546e-20	Deoxyuridine 5'-triphosphate nucleotidohydrolase
dmrt1+ neoblasts	Smp-181410	Smp_181410.1	Smp_181410	0.46827064046911726	1.0762837325076574e-15	NA
dmrt1+ neoblasts	Smp-084460	Smp_084460.1	Smp_084460	0.46647697682708156	2.0152365987001828e-24	60S ribosomal protein L28
dmrt1+ neoblasts	Smp-097660	Smp_097660.1	Smp_097660	0.4657844731843017	3.0296609159560756e-38	DEAD box ATP-dependent RNA helicase, putative
dmrt1+ neoblasts	Smp-091640	Smp_091640.1,Smp_091640.2	Smp_091640	0.46456706999047404	4.398922383537641e-46	40S ribosomal protein S24
dmrt1+ neoblasts	Smp-155060	Smp_155060.1,Smp_155060.2	Smp_155060	0.46441060895843744	2.116358996688898e-46	Set, putative
dmrt1+ neoblasts	Smp-049680	Smp_049680.1	Smp_049680	0.46091806750355313	2.0426730604006644e-16	NA
dmrt1+ neoblasts	Smp-019030	Smp_019030.1	Smp_019030	0.45863979201265603	4.413369428315454e-17	Cathepsin C
dmrt1+ neoblasts	Smp-170800	Smp_170800.1,Smp_170800.2	Smp_170800	0.4572526524064579	9.029764616585146e-23	Cysteinyl-tRNA synthetase
dmrt1+ neoblasts	G27282	SmLINC150458-IBu,SmLINC150451-IBu,SmLINC150457-IBu,SmLINC150453-IBu,SmLINC150452-IBu,SmLINC150456-IBu,SmLINC150454-IBu	G27282	0.4572330664431039	9.254888172600563e-13	SmLINC150458-IBu,SmLINC150451-IBu,SmLINC150457-IBu,SmLINC150453-IBu,SmLINC150452-IBu,SmLINC150456-IBu,SmLINC150454-IBu
dmrt1+ neoblasts	Smp-076740	Smp_076740.1	Smp_076740	0.45700407140848	7.072371617959449e-33	Putative 30s ribosomal protein S8
dmrt1+ neoblasts	Smp-083730	Smp_083730.1	Smp_083730	0.45390789360521966	1.5256658240210988e-35	NA
dmrt1+ neoblasts	Smp-075110	Smp_075110.1,Smp_075110.2	Smp_075110	0.45381627677034775	3.57688093334188e-21	Putative rad1 DNA damage checkpoint protein
dmrt1+ neoblasts	Smp-085300	Smp_085300.1	Smp_085300	0.45268236214627233	2.375257616164354e-13	60S ribosomal protein L22, putative
dmrt1+ neoblasts	Smp-202770	Smp_202770.1	Smp_202770	0.4510567249067785	1.6997881091580373e-9	Smp_202770
dmrt1+ neoblasts	Smp-133350	Smp_133350.1	Smp_133350	0.4509109797307551	1.6278484209754143e-17	Nucleolar GTP-binding protein 1
dmrt1+ neoblasts	Smp-027610	Smp_027610.1	Smp_027610	0.45033041206146773	1.844265408621301e-42	40S ribosomal protein S3, putative
dmrt1+ neoblasts	BBC1	Smp_022640.1	Smp_022640	0.4494962368203037	3.701865934182104e-26	60S ribosomal protein L13
dmrt1+ neoblasts	Smp-347110	Smp_347110.1	Smp_347110	0.4469117201118604	1.0363756682139693e-32	Ribosomal_L18_c domain-containing protein
dmrt1+ neoblasts	Smp-140240	Smp_140240.1	Smp_140240	0.44564519949131337	3.520529043427317e-25	NA
dmrt1+ neoblasts	Smp-013470	Smp_013470.1	Smp_013470	0.44436350521099444	9.655633911200396e-35	40S ribosomal protein S2
dmrt1+ neoblasts	Smp-098330	Smp_098330.1	Smp_098330	0.44266241769644243	4.602777218885782e-17	Putative nucleolar protein family A member
dmrt1+ neoblasts	Smp-030690	Smp_030690.1	Smp_030690	0.44163990995533275	4.552718571146469e-23	Elongation factor 1-beta, putative
dmrt1+ neoblasts	Smp-016870	Smp_016870.1,Smp_016870.2	Smp_016870	0.44151680342087307	3.7702760031218185e-21	NA
dmrt1+ neoblasts	G39223	SmLINC173022-IBu,SmLINC173018-IBu,SmLINC173019-IBu,SmLINC173021-IBu	G39223	0.44076467628218596	8.129915469465569e-15	SmLINC173022-IBu,SmLINC173018-IBu,SmLINC173019-IBu,SmLINC173021-IBu
dmrt1+ neoblasts	Smp-093440	Smp_093440.1	Smp_093440	0.4404162494456698	4.509234995473131e-53	Putative 40s ribosomal protein S5
dmrt1+ neoblasts	Smp-332450	Smp_332450.1	Smp_332450	0.4399311120026749	3.2475301304318455e-23	NA
dmrt1+ neoblasts	Smp-013200	Smp_013200.1,Smp_013200.2	Smp_013200	0.4381616143294771	1.3571333292249325e-34	60S ribosomal protein L10, putative
dmrt1+ neoblasts	Smp-053130	Smp_053130.1	Smp_053130	0.43698473630128287	2.361906800031731e-27	40S ribosomal protein S6
dmrt1+ neoblasts	Smp-027080	Smp_027080.1	Smp_027080	0.4363789420271533	7.583893399127595e-14	Golgi membrane protein sb140 (Yip1b), putative
dmrt1+ neoblasts	G5247	SmLNCA109741-IBu	G5247	0.43497353347027146	4.378166303234331e-12	SmLNCA109741-IBu
dmrt1+ neoblasts	Smp-141160	Smp_141160.1	Smp_141160	0.43495701102905004	1.2324437288512916e-22	RING-type domain-containing protein
dmrt1+ neoblasts	Smp-145370	Smp_145370.1	Smp_145370	0.43403656358800813	7.675990964060514e-20	NA
dmrt1+ neoblasts	Smp-006550	Smp_006550.1	Smp_006550	0.43353253097973843	1.3088064361749652e-13	Putative glutaredoxin, grx
dmrt1+ neoblasts	Smp-124300	Smp_124300.1	Smp_124300	0.4323641280587953	6.082714538589869e-18	Lamin B receptor (ERG24)
dmrt1+ neoblasts	Smp-129710	Smp_129710.1,Smp_129710.2,Smp_129710.3	Smp_129710	0.43035577733380476	1.0246521938067907e-15	Uveal autoantigen with coiled-coil domains and ankyrin repeats protein, putative
dmrt1+ neoblasts	Smp-246060	Smp_246060.1	Smp_246060	0.42974852613656694	9.57612598850156e-24	Mini-chromosome maintenance complex-binding protein
dmrt1+ neoblasts	Smp-072900	Smp_072900.1	Smp_072900	0.42924236363857604	7.839725739084808e-28	Hsp90 co-chaperone (Tebp), putative
dmrt1+ neoblasts	Smp-091480	Smp_091480.1	Smp_091480	0.42896661702568717	6.028008582283152e-13	Kinetochore protein SPC25
dmrt1+ neoblasts	Smp-051010	Smp_051010.1	Smp_051010	0.4268680692252371	3.01275536753723e-17	Putative ubiquitin-conjugating enzyme E2 C
dmrt1+ neoblasts	Smp-125040	Smp_125040.1	Smp_125040	0.42542473174889467	3.694016774596293e-22	Epa2p-like protein
dmrt1+ neoblasts	Smp-122840	Smp_122840.1	Smp_122840	0.4250999184375992	9.704440997273021e-16	Eukaryotic translation initiation factor 5
dmrt1+ neoblasts	Smp-074950	Smp_074950.1	Smp_074950	0.4238563645412533	2.139339956505062e-14	NA
dmrt1+ neoblasts	G31204	SmLINC157548-IBu,SmLINC157545-IBu,SmLINC157547-IBu	G31204	0.4232524438253038	8.965856710130219e-17	SmLINC157548-IBu,SmLINC157545-IBu,SmLINC157547-IBu
dmrt1+ neoblasts	Smp-030830	Smp_030830.1	Smp_030830	0.42310716606133103	2.0117000445834525e-12	Rna-binding ras-gap sh3 binding protein related
dmrt1+ neoblasts	Smp-042390	Smp_042390.1	Smp_042390	0.4190446496163422	8.270791535562328e-19	Putative 2-deoxyglucose-6-phosphate phosphatase
dmrt1+ neoblasts	G20002	SmLINC137108-IBu	G20002	0.41837885080384074	2.874904584399016e-10	SmLINC137108-IBu
dmrt1+ neoblasts	Smp-142820	Smp_142820.1	Smp_142820	0.41751118120465447	3.643990334494724e-29	NA
dmrt1+ neoblasts	Smp-062640	Smp_062640.1	Smp_062640	0.41736669085956657	2.290566651551725e-11	NA
dmrt1+ neoblasts	Smp-047400	Smp_047400.1,Smp_047400.2	Smp_047400	0.4173114399270016	1.2928137667750964e-21	NA
dmrt1+ neoblasts	Smp-163970	Smp_163970.1	Smp_163970	0.41475440134288055	2.967342998338221e-40	Carboxypeptidase
dmrt1+ neoblasts	Smp-337390	Smp_337390.1,Smp_337390.2,Smp_337390.3	Smp_337390	0.4140747995346583	1.9056082155850866e-12	Ribosome biogenesis regulatory protein
dmrt1+ neoblasts	Smp-032260	Smp_032260.1,Smp_032260.2	Smp_032260	0.41216680784065174	1.5360380121716054e-18	Ribosomal protein L15
dmrt1+ neoblasts	Smp-000100	Smp_000100.1,Smp_000100.2,Smp_000100.3,Smp_000100.4,Smp_000100.5,Smp_000100.6	Smp_000100	0.41085735488394326	3.512190592996479e-36	Filamin
dmrt1+ neoblasts	Smp-064510	Smp_064510.1	Smp_064510	0.41009178309549843	1.1822505740880439e-11	RNA-binding protein NOB1
dmrt1+ neoblasts	Smp-056350	Smp_056350.1	Smp_056350	0.40950260310048336	4.4130565826402594e-21	Mitotic spindle assembly checkpoint protein mad2-related
dmrt1+ neoblasts	Smp-074390	Smp_074390.1	Smp_074390	0.40835866185940684	1.3895324612276297e-21	Putative eukaryotic translation initiation factor 4e-binding protein
dmrt1+ neoblasts	Smp-247770	Smp_247770.1,Smp_247770.2	Smp_247770	0.4072038055445459	4.72532198399975e-17	WW domain-containing protein
dmrt1+ neoblasts	Smp-159630	Smp_159630.1,Smp_159630.2	Smp_159630	0.4069455027696223	3.3052695182202336e-29	NA
dmrt1+ neoblasts	Smp-161820	Smp_161820.1	Smp_161820	0.4042626557222678	3.1951099081412757e-19	NA
dmrt1+ neoblasts	Smp-179300	Smp_179300.1	Smp_179300	0.4041659892581384	1.6122186501499997e-19	Putative cellular nucleic acid binding protein
dmrt1+ neoblasts	Smp-123240	Smp_123240.1	Smp_123240	0.4039525654382392	2.5062953799615247e-12	zf-Tim10_DDP domain-containing protein
dmrt1+ neoblasts	Smp-033020	Smp_033020.1,Smp_033020.2	Smp_033020	0.4023463935343248	2.180085818451175e-12	Putative anti-silencing protein
dmrt1+ neoblasts	RPL37	Smp_035800.1	Smp_035800	0.40144418901913936	1.1963550988127604e-11	60S ribosomal protein L37
dmrt1+ neoblasts	Smp-001900	Smp_001900.1	Smp_001900	0.39939892155943696	4.356520445506697e-88	Septate junction protein
dmrt1+ neoblasts	Smp-076600	Smp_076600.1	Smp_076600	0.39922972094245435	8.712082740111642e-19	Sox transcription factor
dmrt1+ neoblasts	Smp-054840	Smp_054840.1	Smp_054840	0.3981276954306545	2.4915603996759214e-21	DNA replication licensing factor MCM2
dmrt1+ neoblasts	Smp-092750	Smp_092750.1	Smp_092750	0.397745732735876	4.2127073405273374e-14	Nucleoside diphosphate kinase
dmrt1+ neoblasts	Smp-172190	Smp_172190.1,Smp_172190.2,Smp_172190.3	Smp_172190	0.3968835463258731	2.168887078324465e-10	Putative methyltransferase
dmrt1+ neoblasts	Smp-032490	Smp_032490.1	Smp_032490	0.3965879984414719	2.339785819538011e-18	Putative tropomyosin
dmrt1+ neoblasts	Smp-245590	Smp_245590.1,Smp_245590.2	Smp_245590	0.39621681848411394	1.0502076803473005e-20	GAR domain-containing protein
dmrt1+ neoblasts	hmgb2	Smp_000980.1	Smp_000980	0.39569945116739436	2.6918060926554273e-11	Putative high mobility group B2 protein
dmrt1+ neoblasts	Smp-004060	Smp_004060.1	Smp_004060	0.39521008421537224	3.2777431856900854e-22	Putative cell division cycle 20 (Cdc20) (Fizzy)
dmrt1+ neoblasts	Smp-075040	Smp_075040.1,Smp_075040.2	Smp_075040	0.39445333034962304	2.8024058822505636e-10	NA
dmrt1+ neoblasts	Smp-095670	Smp_095670.1	Smp_095670	0.3944255773853913	5.366370956881436e-8	NA
